sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Knovel Critical Tables (2nd Edition)"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Aqueous Acid Dissociation Constants"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"material or substance name";"CAS Registry no.";"molecular formula";"common formula";"molecular weight";"dissociation step";"acid dissociation const., pKA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"trans-p-methoxycinnamic acid";"830-09-1;6099-03-2 ";"C10H10O3";"CH3OC6H4CHCHCOOH";"178.187";"I";"4.46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"trichloroacetic acid";"1976-03-09";"C2HCl3O2";"Cl3CCOOH";"163.388";"I";"1.66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4,6-trichlorophenol";"1988-06-02";"C6H3Cl3O";"Cl3C6H2OH";"197.448";"I";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"trifluoroacetic acid";"1976-05-01";"C2HF3O2";"F3CCOOH";"114.024";"I";"0.23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"trifluorobutyric acid";"406-93-9";"C4H5F3O2";"F3C(CH2)2COOH";"142.078";"I";"4.16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"trifluoropropionic acid";"2516-99-6";"C3H3F3O2";"F3CCH2COOH";"128.05";"I";"3.02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4,6-Trihydroxybenzoic acid";"83-30-7";"C7H6O5";"(HO)3C6H2COOH";"170.121";"I";"1.68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4,6-trimethoxyphenol";"20491-92-3";"C9H12O4";"(CH3O)3C6H2OH";"184.189";"I";"9.48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4,6-trimethylphenol";"527-60-6";"C9H12O";"(CH3)3C6H2OH";"136.193";"I";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"trinitrobenzene";"99-35-4";"C6H3N3O6";"(O2N)3C6H3";"213.106";"I";"14.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"trinitrobenzene";"99-35-4";"C6H3N3O6";"(O2N)3C6H3";"213.106";"II";"18.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4,6-trinitro-m-xylene";"632-92-8";"C8H7N3O6";"(O2N)3C6H(CH3)2";"241.16";"I";"16.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4,6-trinitrotoluene";"118-96-7; 602-29-9;18292-97-2 ";"C9H5N3O6";"(O2N)3C8H2CH3";"251.155";"II";"17.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"L(-)-tryptophan";"73-22-3";"C11H12N2O2";"(C9H8N)CH(NH2)COOH";"204.228";"I";"9.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tungstic acid";"7783-03-01";"H2O4W";"H2WO4";"249.853";"I";"4.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tyrosine";"60-18-4";"C9H11NO3";"HOC6H4CH2CH(CH2)COOH";"179.195";"I";"8.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"uric acid";"69-93-2";"C5H4N4O3";"C5H4O3N4";"168.112";"I";"3.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"valeric acid";"109-52-4";"C5H10O2";"CH3(CH2)3COOH";"102.133";"I";"4.86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DL-valine";"516-06-3";"C5H11NO2";"(CH3)2CHCH(NH2)COOH";"117.147";"I";"9.72";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vanilic acid";"";"C8H8O4";"3,4-(CH3O)(HO)C6H3COOH";"168.147";"I";"4.52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vanillin";"121-33-5";"C8H8O3";"3,4-(CH3O)(HO)C6H3CHO";"152.149";"I";"7.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"vinylacetic acid";"625-38-7";"C4H6O2";"CH2CHCH2COOH";"86.0902";"I";"4.34";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"violuric acid";"87-39-8";"C4H3N3O4";"C4H3O4N3";"157.086";"I";"4.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"xanthine";"69-89-6";"C5H4N4O2";"C5H4O2N4";"152.112";"I";"9.91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Knovel Critical Tables (2nd Edition) © 2008 Knovel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
