sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Knovel Critical Tables (2nd Edition)"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Aqueous Acid Dissociation Constants"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"material or substance name";"CAS Registry no.";"molecular formula";"common formula";"molecular weight";"dissociation step";"acid dissociation const., pKA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"diethylacetic acid";"1988-09-05";"C6H12O2";"(C2H5)2CHCOOH";"116.16";"I";"4.73";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"diethylene glycol";"111-46-6";"C2H6O2";"HOCH2CH2OH";"62.0682";"I";"14.18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"diethylmalonic acid";"510-20-3";"C7H12O4";"(C2H5)2C(COOH)2";"160.169";"I";"2.15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"diethylmalonic acid";"510-20-3";"C7H12O4";"(C2H5)2C(COOH)2";"160.169";"II";"7.47";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3,4-dihydroxybenzoic acid";"99-50-3";"C7H6O4";"(HO)2C6H3COOH";"154.122";"I";"4.48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3,5-dihydroxybenzoic acid";"1999-10-05";"C7H6O4";"(HO)2C6H3COOH";"154.12";"I";"4.04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,5-Dihydroxybenzoic acid";"490-79-9";"C7H6O4";"(HO)2C6H3COOH";"154.12";"I";"2.97";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dihydroxyfumaric acid";"133-38-0";"C4H4O6";"HOOCC(OH)C(OH)COOH";"148.072";"I";"1.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,5-dihydroxyisophthalic acid";"";"C8H6O6";"(HO)2C6H2(COOH)2";"198.132";"I";"3.78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4,5-dihydroxyisophthalic acid";"";"C8H6O6";"(HO)2C6H2(COOH)2";"198.132";"I";"3.61";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4,6-dihydroxyisophthalic acid";"";"C8H6O6";"(HO)2C6H2(COOH)2";"198.132";"I";"3.81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dihydroxymaleic acid";"526-84-1";"C4H4O6";"HOOCC(OH)C(OH)COOH";"148.072";"I";"1.92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dihydroxytartaric acid";"76-30-2";"C4H6O8";"HOOCC(OH)2C(OH)2COOH";"182.087";"I";"1.95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dihydroxytartaric acid";"76-30-2";"C4H6O8";"HOOCC(OH)2C(OH)2COOH";"182.087";"II";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4-dimethoxylphenol";"";"C8H10O3";"(CH3O)2C6H3OH";"154.163";"I";"4.33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,6-dimethoxyphenol";"1991-10-01";"C8H10O3";"(CH3O)2C6H3OH";"154.165";"I";"9.68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,2-dimethylacrylic acid";"";"C5H8O2";"(CH3)2CCHCOOH";"100.116";"I";"5.12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"N,N-dimethylglycine";"1118-68-9";"C4H9NO2";"(CH3)2NCH2COOH";"103.121";"I";"9.94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4-dimethylphenol";"105-67-9";"C8H10O";"(CH3)2C6H3OH";"122.166";"I";"9.77";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4-dimethylphenol";"";"C8H10O3";"(HOCH2)2C6H3OH";"154.163";"I";"6.06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dimethylpropanedioic acid";"595-46-0";"C5H8O4";"(CH3)2C(COOH)2";"132.116";"I";"3.15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dimolybdic acid";"";"H2Mo2O7";"H2Mo2O7";"305.892";"I";"5.02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4,6-dinitro-o-cresol";"534-52-1";"C7H5N2O4";"(O2N)2C6H2(CH3)(OH)";"181.128";"I";"4.35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,3-dinitrophenol";"66-56-8";"C6H4N2O5";"(O2N)2C6H3OH";"184.108";"I";"4.92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4-dinitrophenol";"51-28-5";"C6H4N2O5";"(O2N)2C6H3OH";"184.108";"I";"4.11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dinitro-2,6-phenol";"573-56-8";"C6H4N2O5";"(O2N)2C6H3OH";"184.108";"I";"3.71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dinitrophenol";"25550-58-7";"C6H4N2O5";"(O2N)2C6H3OH";"184.108";"I";"5.42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dinitro-2,6-phenol";"573-56-8";"C6H4N2O5";"(O2N)2C6H3OH";"184.106";"I";"5.52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4-dinitrophenylacetic acid";"643-43-6";"C8H6N2O6";"(O2N)2C6H3CH2COOH";"226.145";"I";"3.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4-dinitrotoluene";"121-14-2";"C7H6N2O4";"CH3C6H3(NO2)2";"182.135";"I";"17.12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1,2-diphenylthiourea";"102-08-9";"C13H12N2S";"C13H12N2S";"256.325";"I";"4.82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dipicolinic acid";"499-83-2";"C7H5NO4";"(HOOC)2C5H3N";"167.121";"I";"2.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"dipropylmalonic acid";"1636-27-7";"C9H16O4";"(C3H7)2C(COOH)2";"188.221";"I";"3.04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dithionic acid";"";"H2O6S2";"H2S2O6";"162.132";"I";"0.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dithionic acid";"";"H2O6S2";"H2S2O6";"162.132";"II";"3.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"erythritol";"149-32-6 (meso)";"C4H10O4";"HOCH2(CHOH)2CH2OH";"122.121";"I";"13.72";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethanedithioamide";"79-40-3";"C2H4N2S2";"H2NCSCSNH2";"120.187";"I";"9.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ethanethiolic acid";"507-09-5";"C2H4OS";"CH3CSOH";"76.113";"I";"3.33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
