sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Knovel Critical Tables (2nd Edition)"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Aqueous Acid Dissociation Constants"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"material or substance name";"CAS Registry no.";"molecular formula";"common formula";"molecular weight";"dissociation step";"acid dissociation const., pKA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-phenoxybenzoic acid";"2215-77-2";"C13H10O3";"C6H5OC6H4COOH";"214.22";"I";"4.52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"phenylacetic acid";"103-82-2";"C8H8O2";"C6H5CH2COOH";"136.15";"I";"4.31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"phenylalanine";"63-91-2";"C9H11NO2";"C6H5NHCH(CH3)COOH";"165.191";"I";"4.66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"l-phenylalanine";"63-91-2";"C9H11NO2";"C6H5NH(CH2)2COOH";"165.191";"I";"5.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DL-phenylalanine";"150-30-1";"C9H11NO2";"C6H5NH(CH2)2COOH";"165.191";"I";"8.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"phenylboronic acid";"98-80-6";"C6H7BO2";"C6H5B(OH)2";"121.93";"I";"8.86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-phenylbutyric acid";"1821-12-1";"C10H12O2";"C6H5(CH2)3COOH";"164.204";"I";"4.76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"phenylmalonic acid";"2613-89-0";"C9H8O4";"C6H5CH(COOH)2";"180.16";"I";"2.56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"(R)-(-)-2-phenylpropionic acid";"7782-26-5";"C9H10O2";"C6H5CH(CH3)COOH";"150.177";"I";"4.64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"β-phenylpropionic acid";"501-52-0";"C9H10O2";"C6H5(CH2)2COOH";"150.177";"I";"4.66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"phosphinic acid";"6303-21-5";"H3O2P";"H3PO2";"65.9963";"I";"1.23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-phthalic acid";"88-99-3";"C8H6O4";"C6H4(COOH)2";"166.133";"I";"2.95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-phthalic acid";"88-99-3";"C8H6O4";"C6H4(COOH)2";"166.133";"II";"5.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-phthalic acid";"121-91-5";"C8H6O4";"C6H4(COOH)2";"166.131";"I";"3.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-phthalic acid";"121-91-5";"C8H6O4";"C6H4(COOH)2";"166.131";"II";"4.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-phthalic acid";"100-21-0";"C8H6O4";"C6H4(COOH)2";"166.131";"I";"3.54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-phthalic acid";"100-21-0";"C8H6O4";"C6H4(COOH)2";"166.131";"II";"4.46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"picric acid";"88-89-1";"C6H3N3O7";"2,4,6-(O2N)3C6H2OH";"229.106";"I";"0.71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"pimelic acid";"111-16-0";"C7H12O4";"HOOC(CH2)5COOH";"160.169";"I";"4.51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"pimelic acid";"111-16-0";"C7H12O4";"HOOC(CH2)5COOH";"160.169";"II";"5.31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Pivalic acid";"75-98-9";"C5H10O2";"(CH3)3CCOOH";"102.133";"I";"5.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"L-proline";"147-85-3";"C5H9NO2";"HOOCC4H8N";"115.132";"I";"10.64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-";"77-92-9";"C6H8O7";"(HOOCCH2)2C(OH)COOH";"192.125";"I";"3.13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-";"77-92-9";"C6H8O7";"(HOOCCH2)2C(OH)COOH";"192.125";"II";"4.76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-";"77-92-9";"C6H8O7";"(HOOCCH2)2C(OH)COOH";"192.125";"III";"6.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Propanoic acid";"1979-09-04";"C3H6O2";"CH3CH2COOH";"74.0792";"I";"4.87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Propanoic acid, 3-bromo-";"590-92-1";"C3H5BrO2";"BrCH2CH2COOH";"152.975";"I";"4.03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Propanoic acid, 3-chloro-";"107-94-8";"C3H5ClO2";"ClCH2CH2COOH";"108.523";"I";"4.08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"propenylacetic acid";"";"C5H8O2";"CH3CHCHCH2COOH";"100.116";"I";"4.51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-propenylacrylic propionoic acid";"";"C6H10O2";"CH3(CH2)2CHCHCOOH";"114.142";"I";"4.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-propenylpropionoic acid";"";"C6H10O2";"CH3CHCH(CH2)2COOH";"114.142";"I";"4.72";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"propiolic acid";"471-25-0";"C3H3O";"CHCCHHO";"55.0561";"I";"1.84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ß,ß-propylethylglutaric acid";"";"C10H18O4";"CH3(CH2)2C(CH2CH3)(CH2COOH)2";"202.244";"I";"3.51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"propylethylmalonic acid";"";"C8H14O4";"CH3(CH2)2C(CH2CH3)(COOH)2";"174.194";"I";"2.11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-propylglutsric acid";"";"C8H34O4";"CH23(CH2)2CH(CH2COOH)2";"194.354";"I";"4.31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"n-propylmalonic acid";"616-62-6";"C6H10O4";"CH3(CH2)2CH(COOH)2";"146.143";"I";"2.99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"n-propylmalonic acid";"616-62-6";"C6H10O4";"CH3(CH2)2CH(COOH)2";"146.143";"II";"5.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1H-Purine-2,6-dione, 3,7-dihydro-3,7-dimethyl-";"83-67-0";"C7H8N4O2";"C7H8O2N4";"180.164";"I";"7.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
