sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Knovel Critical Tables (2nd Edition)"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Aqueous Acid Dissociation Constants"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"material or substance name";"CAS Registry no.";"molecular formula";"common formula";"molecular weight";"dissociation step";"acid dissociation const., pKA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzaldehyde, 2-hydroxy-3-methoxy-";"148-53-8";"C10H8O3";"2,3-(HO)(CH3O)C8H3CHO";"176.164";"I";"7.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzaldehyde, 3-hydroxy-4-methoxy-";"621-59-0";"C8H8O3";"3,4-(HO)(CH3O)C6H3CHO";"152.147";"I";"8.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzene, 1,3-dinitro-";"99-65-0";"C6H4N2O4";"C6H4(NO2)2";"168.107";"I";"16.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzeneacetic acid, a-methylene-";"492-38-6";"C9H8O2";"C9H8O2";"149.169";"I";"3.84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1,2-Benzenediol";"120-80-9";"C6H6O2";"HOC6H4OH";"110.111";"I";"9.45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzenesulfinic-acid-";"618-41-7";"C6H6O2S";"C6H6O2S";"142.177";"I";"1.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzenesulfonic acid";"1998-11-03";"C6H6O3S";"C6H5SO3H";"158.172";"I";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"benzoic acid";"65-85-0";"C7H6O2";"C6H5COOH";"122.123";"I";"4.18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 3-bromo-";"585-76-2";"C7H5BrO2";"BrC6H4COOH";"201.017";"I";"3.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 2-chloro-";"118-91-2";"C7H5ClO2";"ClC6H4COOH";"156.566";"I";"2.94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 3-chloro-";"535-80-8";"C7H5ClO2";"ClC6H4COOH";"156.566";"I";"3.82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 2,3-dihydroxy-";"303-38-8";"C7H6O4";"(OH)2C6H3COOH";"154.12";"I";"2.94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 2,3-dihydroxy-";"303-38-8";"C7H6O4";"(OH)2C6H3COOH";"154.12";"I";"3.29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 2,6-dihydroxy-";"303-07-1";"C7H6O4";"(HO)2C6H3COOH";"154.12";"I";"1.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 3,5-dimethyl-";"499-06-9";"C9H10O2";"3,5-(CH3)2C6H3COOH";"150.174";"I";"4.32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 2-fluoro-";"445-29-4";"C7H5FO2";"FC6H4COOH";"140.112";"I";"3.27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 3-fluoro-";"455-38-9";"C7H5FO2";"FC6H4COOH";"140.112";"I";"3.87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 4-methyl-";"99-94-5";"C8H8O2";"CH3C6H4COOH";"136.148";"I";"4.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 4-nitro-";"62-23-7";"C7H5NO4";"O2NC6H4COOH";"167.119";"I";"3.44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 3,4,5-trihydroxy-";"";"C7H6O5";"3,4,5-(HO)3C6H2COOH";"170.121";"I";"4.41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Benzoic acid, 2,4,6-trinitro-";"129-66-8";"C7H3N3O8";"(O2N)3C6H2COOH";"257.116";"I";"0.65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"benzylic acid";"76-93-7";"C14H12O3";"(C6H5)2C(OH)COOH";"228.236";"I";"3.04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-biphenylyl acetate";"148-86-7";"C14H12O2";"(C6H5)2CHCOOH";"212.248";"I";"3.94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"boric acid";"10043-35-3";"H3BO3";"H3BO3";"61.8319";"I";"9.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"bromoacetic acid";"1979-08-03";"C2H3BrO2";"BrCH2COOH";"138.949";"I";"2.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-bromobenzoic acid";"88-65-3";"C7H5BrO2";"BrC6H4COOH";"201.019";"I";"2.85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-bromobenzoic acid";"586-76-5";"C7H5BrO2";"BrC6H4COOH";"201.019";"I";"3.97";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-bromophenol";"95-56-7";"C6H5BrO";"BrC6H4OH";"173.009";"I";"8.44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-bromophenol";"591-20-8";"C6H5BrO";"BrC6H4OH";"173.009";"I";"9.03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-Bromophenol";"106-41-2";"C6H5BrO";"BrC6H4OH";"173.007";"I";"9.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-bromophenylacetic acid";"18698-97-0";"C8H7BrO2";"BrC6H4CH2COOH";"215.046";"I";"4.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-Bromophenylacetic acid";"1878-68-8";"C8H7BrO2";"BrC6H4CH2COOH";"215.044";"I";"4.19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"(±)-2-bromopropionic acid";"598-72-1";"C3H5BrO2";"CH3CHBrCOOH";"152.975";"I";"2.98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butanedioic acid";"110-15-6";"C4H6O4";"HOOC(CH2)2COOH";"118.088";"I";"4.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butanedioic acid";"110-15-6";"C4H6O4";"HOOC(CH2)2COOH";"118.088";"II";"5.64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butanedioic acid, methylene-";"97-65-4";"C5H6O4";"C5H6O4";"130.099";"I";"3.85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Butanedioic acid, methylene-";"97-65-4";"C5H6O4";"C5H6O4";"130.099";"II";"5.45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"n-Butanoic acid";"107-92-6";"C4H8O2";"CH3(CH2)2COOH";"88.106";"I";"4.82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
