sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Knovel Critical Tables (2nd Edition)"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Aqueous Acid Dissociation Constants"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"material or substance name";"CAS Registry no.";"molecular formula";"common formula";"molecular weight";"dissociation step";"acid dissociation const., pKA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ferrocyanide acid";"";"C6H4FeN6";"H4Fe(CN)6";"215.985";"III";"2.57";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ferrocyanide acid";"";"C6H4FeN6";"H4Fe(CN)6";"215.985";"IV";"4.35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-fluorobenzoic acid";"456-22-4";"C7H5FO2";"FC6H4COOH";"140.114";"I";"4.14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"fluoroethanoic acid";"144-49-0";"C2H3FO2";"FCH2COOH";"78.0429";"I";"2.58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-fluorophenol";"367-12-4";"C6H5FO";"FC6H4OH";"112.103";"I";"8.81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-fluorophenol";"372-20-3";"C6H5FO";"FC6H4OH";"112.103";"I";"9.28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-fluorophenol";"371-41-5";"C6H5FO";"FC6H4OH";"112.103";"I";"9.95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"o-Fluorophenoxyacetic acid";"348-10-7";"C8H7FO3";"FC6H4OCH2COOH";"170.14";"I";"3.08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-Fluorophenoxyacetic acid";"";"C8H7FO3";"FC6H4OCH2COOH";"170.14";"I";"3.08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-Fluorophenoxyacetic acid";"405-79-8";"C8H7FO3";"FC6H4OCH2COOH";"170.14";"I";"3.13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-fluorophenylacetic acid";"405-50-5";"C8H7FO2";"C6H5CHFCOOH";"154.141";"I";"4.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-fluorophenylacetic acid";"405-50-5";"C8H7FO2";"FC6H4CH2COOH";"154.141";"I";"4.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Fluorophosphoric acid";"13537-32-1";"H2FO3P";"H2[PO3F]";"99.9862";"I";"0.55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Fluorophosphoric acid";"13537-32-1";"H2FO3P";"H2[PO3F]";"99.9862";"II";"4.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"fulminic acid";"506-85-4";"CHNO";"HCNO";"43.025";"I";"3.46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"fumaric acid";"110-17-8";"C4H4O4";"HOOCCHCHCOOH";"116.073";"I";"3.02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"fumaric acid";"110-17-8";"C4H4O4";"HOOCCHCHCOOH";"116.073";"II";"4.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"gluconic acid";"526-95-4";"C6H12O7";"CH2OH(CHOH)4COOH";"196.157";"I";"3.86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DL-glutamic acid (9CI)";"617-65-2";"C5H9NO4";"HOOC(CH2)2CH(NH2)COOH";"147.13";"I";"4.33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DL-glutamic acid (9CI)";"617-65-2";"C5H9NO4";"HOOC(CH2)2CH(NH2)COOH";"147.13";"II";"9.92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"glyceric acid";"";"C3H6O4";"CH2(OH)CH(OH)COOH";"106.078";"I";"3.52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"glycerol";"56-81-5";"C3H8O3";"HOCH2CH(OH)CH2OH";"92.0944";"I";"13.99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"glycolic acid";"79-14-1";"C2H4O3";"HOCH2COOH";"76.0518";"I";"3.83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"glyoxylic acid";"298-12-4";"C2H2O3";"HOOCCHO";"74.036";"I";"3.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"heptylic acid";"111-14-8";"C7H14O2";"CH3(CH2)5COOH";"130.186";"I";"4.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hexahydrobenzoic acid";"98-89-5";"C7H12O2";"C6H11COOH";"128.171";"I";"4.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,4,6,2',4',6'-hexanitrodiphenylamine";"131-73-7";"C12H5N7O12";"2,4,6,2',4',6'-(O2N)3C6H2NHC6H2(NO2)3";"439.211";"I";"5.42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hexanoic acid";"142-62-1";"C6H12O2";"CH3(CH2)4COOH";"116.16";"I";"4.86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hippuric acid";"495-69-2";"C9H9NO3";"C6H5CONHCH2COOH";"179.175";"I";"3.64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"L-histidine";"1971-04-01";"C6H9N3O2";"C6H9O2N3";"155.156";"I";"9.17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hydrazoic acid";"7782-79-8";"HN3";"HN3";"43.0281";"I";"4.72";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hydrofluoric acid";"7664-39-3";"HF";"HF";"20.0063";"I";"3.17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hydrogen cyanide";"74-90-8";"CHN";"HCN";"27.0256";"I";"9.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrogen peroxide (90%)";"7722-84-1";"H2O2";"H2O2";"34.0146";"I";"11.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hydrogen selenide";"7783-07-05";"H2Se";"H2Se";"80.9758";"I";"3.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hydrogen selenide";"7783-07-05";"H2Se";"H2Se";"80.9758";"II";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hydrogen sulfide";"7783-06-04";"H2S";"H2S";"34.0758";"I";"6.99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"hydrogen sulfide";"7783-06-04";"H2S";"H2S";"34.0758";"II";"12.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrogen telluride";"7783-09-07";"H2Te";"H2Te";"129.616";"I";"2.64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrogen telluride";"7783-09-07";"H2Te";"H2Te";"129.616";"II";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hydrogenperoxyl";"3170-83-0";"HO2";"HO2";"33.0067";"I";"2.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
