sep=;
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Title: Knovel Critical Tables (2nd Edition)"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Table: Aqueous Acid Dissociation Constants"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"material or substance name";"CAS Registry no.";"molecular formula";"common formula";"molecular weight";"dissociation step";"acid dissociation const., pKA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"malonodinitrile";"109-77-3";"C3H2N2";"CH2(CN)2";"66.0623";"I";"11.19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DL-mandelic acid";"611-72-3";"C8H8O3";"C6H5CH(OH)COOH";"152.149";"I";"3.41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Manganic acid ";"";"H2MnO4";"H2MnO4";"120.951";"II";"10.15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mannitol";"69-65-8";"C6H14O6";"HOCH2(CHOH)4CH2OH";"182.173";"I";"13.13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mannitol";"69-65-8";"C6H14O6";"HOCH2(CHOH)4CH2OH";"182.173";"II";"14.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mellitic acid";"517-60-2";"C12H6O12";"C12H6O12";"342.172";"I";"1.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mellitic acid";"517-60-2";"C12H6O12";"C12H6O12";"342.172";"II";"2.19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mellitic acid";"517-60-2";"C12H6O12";"C12H6O12";"342.172";"III";"3.31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mellitic acid";"517-60-2";"C12H6O12";"C12H6O12";"342.172";"IV";"4.78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mellitic acid";"517-60-2";"C12H6O12";"C12H6O12";"342.172";"V";"5.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mellitic acid";"517-60-2";"C12H6O12";"C12H6O12";"342.172";"VI";"6.96";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mesaconic acid";"498-24-8";"C5H6O4";"HOOCC(CH3)CHCOOH";"130.1";"I";"3.09";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"meso-tartaric acid";"147-73-9";"C4H6O6";"HOOCCH(OH)CH(OH)COOH";"150.088";"I";"3.22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"meso-tartaric acid";"147-73-9";"C4H6O6";"HOOCCH(OH)CH(OH)COOH";"150.088";"II";"4.82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Methanoic acid (formic)";"64-18-6";"CH2O2";"HCOOH";"46.0256";"I";"3.57";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-methoxycinnamic acid";"6099-04-03";"C10H10O3";"CH3OC6H4CHCHCOOH";"178.187";"I";"4.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-methoxycinnamic acid";"943-89-5";"C10H10O3";"CH3OC6H4CHCHCOOH";"178.187";"I";"4.54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-methoxyphenol";"1990-05-01";"C7H8O2";"o-CH3OC6H4OH";"124.139";"I";"9.83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-methoxyphenol";"1990-05-01";"C7H8O2";"CH3OC6H4OH";"124.139";"I";"9.98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-methoxyphenol";"150-19-6";"C7H8O2";"CH3OC6H4OH";"124.139";"I";"9.65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-methoxyphenol";"150-76-5";"C7H8O2";"CH3OC6H4OH";"124.139";"I";"10.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-methoxyphenylacetic acid";"104-01-8";"C9H10O3";"CH3OC6H4CH2COOH";"166.174";"I";"4.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-(3-Methoxyphenyl)propanoic acid";"10516-71-9";"C10H12O3";"CH3OC6H4(CH2)2COOH";"180.203";"I";"4.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-(p-methoxyphenyl)propionic acid";"25173-37-9";"C10H12O3";"CH3OC6H4(CH2)2COOH";"180.203";"I";"4.65";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-(p-Methoxyphenyl)propionic acid";"25173-37-9";"C10H12O3";"CH3OC6H4(CH2)2COOH";"180.203";"I";"4.69";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"methyl 4-aminobenzoate";"619-45-4";"C8H9NO2";"CH3NHC6H4COOH";"151.165";"I";"5.04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4-(N-methylamino)benzoic acid";"";"C8H9NO2";"CH3NHC6H4COOH";"151.163";"I";"5.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-methylbutanoic acid";"503-74-2";"C5H10O2";"(CH3)2CHCH2COOH";"102.133";"I";"4.78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2-methylcinnamic acid";"2373-76-4";"C10H10O2";"CH3C6H4CHCHCOOH";"162.188";"I";"4.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-Methylcinnamic acid";"3029-79-6";"C10H10O2";"CH3C6H4CHCHCOOH";"162.188";"I";"4.44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"p-Methylcinnamic acid";"1866-39-3";"C10H10O2";"CH3C6H4CHCHCOOH";"162.188";"I";"4.56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,2,-methylethylglutaric acid";"";"C8H14O4";"(CH3)(C2H5)C(CH2COOH)2";"174.194";"I";"3.63";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"methylethylmalonic acid";"";"C6H10O4";"(CH3)(C2H5)C(COOH)2";"146.141";"I";"2.81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3-Methylglutaric acid";"626-51-7";"C6H10O4";"CH3CH(CH2COOH)2";"146.141";"I";"4.24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Methylmalonic acid";"516-05-2";"C4H6O4";"CH3CH(COOH)2";"118.088";"I";"3.07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Methylmalonic acid";"516-05-2";"C4H6O4";"CH3CH(COOH)2";"118.088";"II";"5.87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2,2-methylpropylglutaric acid";"";"C9H16O4";"(CH3)(C3H7)C(CH2COOH)2";"188.221";"I";"3.63";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"(methylthio)acetic acid";"2444-37-3";"C3H6O2S";"CH3SCH2COOH";"106.139";"I";"3.72";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"m-methylthiophenol";"108-40-7";"C7H8OS";"CH3SC6H4OH";"140.204";"I";"9.53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
